O1, O2, STIM,
4527.18, 4528.72, 2, 
4357.95, 4357.95, 2, 
4529.74, 4528.72, 2, 
4356.41, 4357.44, 2, 
4528.21, 4529.74, 2, 
4356.92, 4355.9, 2, 
4532.31, 4531.79, 2, 
4355.9, 4355.9, 2, 
4529.74, 4530.26, 2, 
4356.41, 4355.38, 2, 
4531.28, 4530.26, 2, 
4354.36, 4355.9, 2, 
4530.26, 4531.28, 2, 
4358.46, 4357.95, 2, 
4529.74, 4527.69, 2, 
4355.9, 4355.9, 2, 
4529.23, 4533.33, 2, 
4355.9, 4354.87, 2, 
4532.31, 4528.21, 2, 
4356.92, 4357.95, 2, 
4529.74, 4530.77, 2, 
4353.85, 4351.79, 2, 
4528.72, 4528.21, 2, 
4352.82, 4354.87, 2, 
4530.77, 4531.28, 2, 
4355.38, 4354.36, 2, 
4529.74, 4532.31, 2, 
4352.31, 4353.85, 2, 
4534.87, 4531.79, 2, 
4357.44, 4354.87, 2, 
4528.21, 4529.74, 2, 
4352.82, 4355.9, 2, 
4531.79, 4530.77, 2, 
4355.9, 4356.41, 2, 
4530.77, 4530.77, 2, 
4357.95, 4356.41, 2, 
4530.77, 4532.31, 2, 
4354.87, 4356.41, 2, 
4532.31, 4530.26, 2, 
4355.38, 4353.85, 2, 
4530.77, 4531.28, 2, 
4354.87, 4357.95, 2, 
4529.23, 4529.23, 2, 
4358.46, 4356.41, 2, 
4530.77, 4530.77, 2, 
4355.9, 4355.38, 2, 
4530.77, 4531.79, 2, 
4354.36, 4355.38, 2, 
4529.23, 4528.21, 2, 
4356.92, 4357.95, 2, 
4531.28, 4532.82, 2, 
4355.9, 4354.36, 2, 
4532.31, 4531.79, 2, 
4354.36, 4355.38, 2, 
4530.77, 4531.28, 2, 
4355.9, 4355.38, 2, 
4531.79, 4531.79, 2, 
4354.87, 4354.36, 2, 
4532.31, 4532.82, 2, 
4353.85, 4354.36, 2, 
4530.77, 4531.28, 2, 
4355.9, 4356.41, 2, 
4531.79, 4530.26, 2, 
4354.36, 4354.87, 2, 
4531.79, 4531.28, 2, 
4357.44, 4355.9, 2, 
4527.18, 4529.74, 2, 
4353.85, 4355.9, 2, 
4533.33, 4530.26, 2, 
4354.36, 4353.33, 0, 
4528.72, 4531.79, 0, 
4356.92, 4357.44, 0, 
4530.26, 4529.23, 0, 
4355.38, 4355.38, 0, 
4532.31, 4530.77, 0, 
4355.38, 4355.38, 0, 
4528.21, 4529.74, 0, 
4355.38, 4355.9, 0, 
4531.28, 4532.31, 0, 
4356.92, 4357.44, 0, 
4532.31, 4531.28, 0, 
4354.87, 4353.85, 0, 
4530.77, 4531.28, 0, 
